CLIENT_CODE,FILE_NBR,SUBMISSION_NUMBER,LINE_NUMBER,INPATIENT_REVENUE,OUTPATIENT_REVENUE,TOTAL_REVENUE,INPATIENT_DEDUCTION,OUTPATIENT_DEDUCTION,TOTAL_DEDUCTION,NET_INPATIENT_REVENUE,NET_OUTPATIENT_REVENUE,NET_PATIENT_REVENUE
23,100002,1.00002100120181e+35,14,12439983,20380036,32820019,12022979,13030079,25053058,417004,7349957,7766961
23,100002,1.00002100120181e+35,15,,,,,,,,,
23,100002,1.00002100120181e+35,16,,,,,42918,42918,,-42918,-42918
23,100002,1.00002100120181e+35,17,,,,17733009,39004256,56737265,-17733009,-39004256,-56737265
23,100002,1.00002100120181e+35,18,,,,,,,,,
23,100002,1.00002100120181e+35,19,1362058195,836841670,2198899865,1140790310,712176755,1852967065,221267885,124664915,345932800
23,100002,1.00002100120181e+35,20,,,,,,,,,
23,100002,1.00002100120181e+35,21,1362058195,836841670,2198899865,1140790310,712176755,1852967065,221267885,124664915,345932800
23,100002,1.00002100120181e+35,22,,,1124059337,,,908582723,,,215476614
23,100004,1.00004100120181e+35,1,,,,248253,2687981,2936234,-248253,-2687981,-2936234
23,100004,1.00004100120181e+35,2,212083,2296350,2508433,,,,212083,2296350,2508433
23,100004,1.00004100120181e+35,3,,,,,,,,,
23,100004,1.00004100120181e+35,4,,,,46940,508253,555193,-46940,-508253,-555193
23,100004,1.00004100120181e+35,5,5864206,4538342,10402548,2394172,3375750,5769922,3470034,1162592,4632626
23,100004,1.00004100120181e+35,6,142591,579243,721834,39765,-373063,-333298,102826,952306,1055132
23,100004,1.00004100120181e+35,7,,,,,,,,,
23,100004,1.00004100120181e+35,8,,,,,,,,,
23,100004,1.00004100120181e+35,9,,,,,,,,,
23,100004,1.00004100120181e+35,10,2174579,2347677,4522256,964340,1670793,2635133,1210239,676884,1887123
23,100004,1.00004100120181e+35,11,439878,1860064,2299942,328617,1382604,1711221,111261,477460,588721
23,100004,1.00004100120181e+35,12,,,,,,,,,
23,100004,1.00004100120181e+35,13,776732,4098438,4875170,529073,2422220,2951293,247659,1676218,1923877
23,100004,1.00004100120181e+35,14,,,,,,,,,
23,100004,1.00004100120181e+35,15,,,,,,,,,
23,100004,1.00004100120181e+35,16,,,,,,,,,
23,100004,1.00004100120181e+35,17,,,,,,,,,
23,100004,1.00004100120181e+35,18,,,,,,,,,
23,100004,1.00004100120181e+35,19,9610069,15720114,25330183,4551160,11674538,16225698,5058909,4045576,9104485
23,100004,1.00004100120181e+35,20,,,,,,,,,
23,100004,1.00004100120181e+35,21,9610069,15720114,25330183,4551160,11674538,16225698,5058909,4045576,9104485
23,100004,1.00004100120181e+35,22,,,11697368,,,7297647,,,4399721
23,100006,1.00006100120181e+35,1,,,,179321851,124015090,303336941,-179321851,-124015090,-303336941
23,100006,1.00006100120181e+35,2,507868908,398510466,906379374,,,,507868908,398510466,906379374
23,100006,1.00006100120181e+35,3,,,,,,,,,
23,100006,1.00006100120181e+35,4,,,,394009446,243079556,637089002,-394009446,-243079556,-637089002
23,100006,1.00006100120181e+35,5,1495414610,919739713,2415154323,1013002696,595464791,1608467487,482411914,324274922,806686836
23,100006,1.00006100120181e+35,6,476759181,122238885,598998066,340701452,82676699,423378151,136057729,39562186,175619915
23,100006,1.00006100120181e+35,7,223828470,150290911,374119381,159898455,98381042,258279497,63930015,51909869,115839884
23,100006,1.00006100120181e+35,8,,,,,,,,,
23,100006,1.00006100120181e+35,9,,,,,,,,,
23,100006,1.00006100120181e+35,10,1422127851,957323673,2379451524,963880456,608099355,1571979811,458247395,349224318,807471713
23,100006,1.00006100120181e+35,11,1181012556,607461210,1788473766,831293549,402171965,1233465514,349719007,205289245,555008252
23,100006,1.00006100120181e+35,12,1560530872,1383629600,2944160472,1232211990,983725287,2215937277,328318882,399904313,728223195
23,100006,1.00006100120181e+35,13,865902686,930193752,1796096438,683726091,661343987,1345070078,182176595,268849765,451026360
23,100006,1.00006100120181e+35,14,328186037,126081138,454267175,396605706,278614935,675220641,-68419669,-152533797,-220953466
23,100006,1.00006100120181e+35,15,,,,504034996,378159061,882194057,-504034996,-378159061,-882194057
23,100006,1.00006100120181e+35,16,,,,43341567,43218774,86560341,-43341567,-43218774,-86560341
23,100006,1.00006100120181e+35,17,,,,7012776,377069,7389845,-7012776,-377069,-7389845
23,100006,1.00006100120181e+35,18,,,,,,,,,
23,100006,1.00006100120181e+35,19,8061631171,5595469348,13657100519,6749041031,4499327611,11248368642,1312590140,1096141737,2408731877
23,100006,1.00006100120181e+35,20,9305329,254705644,264010973,7256365,189270959,196527324,2048964,65434685,67483649
23,100006,1.00006100120181e+35,21,8052325842,5340763704,13393089546,6741784666,4310056652,11051841318,1310541176,1030707052,2341248228
23,100006,1.00006100120181e+35,22,,,8908182200,,,6366452680,,,2541729520
23,100007,1.00007010120191e+35,1,,,,212521633,335373994,547895627,-212521633,-335373994,-547895627
23,100007,1.00007010120191e+35,2,673994694,856315436,1530310130,,,,673994694,856315436,1530310130
23,100007,1.00007010120191e+35,3,,,,,,,,,
23,100007,1.00007010120191e+35,4,,,,586627111,561142786,1147769897,-586627111,-561142786,-1147769897
23,100007,1.00007010120191e+35,5,3294508616,1392797076,4687305692,2957179082,1307590434,4264769516,337329534,85206642,422536176
23,100007,1.00007010120191e+35,6,614711420,183550486,798261906,389483199,186434913,575918112,225228221,-2884427,222343794
23,100007,1.00007010120191e+35,7,329784587,198269298,528053885,271712822,157100814,428813636,58071765,41168484,99240249
23,100007,1.00007010120191e+35,8,,,,,,,,,
23,100007,1.00007010120191e+35,9,,,,,,,,,
23,100007,1.00007010120191e+35,10,2429233126,1329939395,3759172521,2098858630,1202041323,3300899953,330374496,127898072,458272568
23,100007,1.00007010120191e+35,11,1183314510,946715052,2130029562,1070574689,861148291,1931722980,112739821,85566761,198306582
23,100007,1.00007010120191e+35,12,1261469758,1433432999,2694902757,681388109,783777080,1465165189,580081649,649655919,1229737568
23,100007,1.00007010120191e+35,13,1090814970,917990798,2008805768,537679017,707954301,1245633318,553135953,210036497,763172450
23,100007,1.00007010120191e+35,14,757741162,865657919,1623399081,470333916,584700380,1055034296,287407246,280957539,568364785
23,100007,1.00007010120191e+35,15,,,,,,,,,
23,100007,1.00007010120191e+35,16,,,,52908860,45848421,98757281,-52908860,-45848421,-98757281
23,100007,1.00007010120191e+35,17,,,,,,,,,
23,100007,1.00007010120191e+35,18,,,,,,,,,
23,100007,1.00007010120191e+35,19,11635572843,8124668459,19760241302,9329267068,6733112737,16062379805,2306305775,1391555722,3697861497
23,100007,1.00007010120191e+35,20,15922917,278013755,293936672,12120524,229611560,241732084,3802393,48402195,52204588
23,100007,1.00007010120191e+35,21,11619649926,7846654704,19466304630,9317146544,6503501177,15820647721,2302503382,1343153527,3645656909
23,100007,1.00007010120191e+35,22,,,10592910608,,,7943421440,,,2649489168
23,100008,1.00008100120181e+35,1,,,,36579732,72058423,108638155,-36579732,-72058423,-108638155
23,100008,1.00008100120181e+35,2,115378652,103457891,218836543,,,,115378652,103457891,218836543
23,100008,1.00008100120181e+35,3,,,,,,,,,
23,100008,1.00008100120181e+35,4,,,,99945782,60887241,160833023,-99945782,-60887241,-160833023
23,100008,1.00008100120181e+35,5,620967067,471706410,1092673477,537476342,417409087,954885429,83490725,54297323,137788048
23,100008,1.00008100120181e+35,6,112222842,38961724,151184566,84728611,28471470,113200081,27494231,10490254,37984485
23,100008,1.00008100120181e+35,7,19784900,15809503,35594403,14491369,10203927,24695296,5293531,5605576,10899107
23,100008,1.00008100120181e+35,8,,,,,,,,,
23,100008,1.00008100120181e+35,9,,,,,,,,,
23,100008,1.00008100120181e+35,10,875026532,640224167,1515250699,732424830,558990892,1291415722,142601702,81233275,223834977
23,100008,1.00008100120181e+35,11,180101485,215968768,396070253,164269021,201522910,365791931,15832464,14445858,30278322
23,100008,1.00008100120181e+35,12,488762051,839751734,1328513785,264166678,443319567,707486245,224595373,396432167,621027540
23,100008,1.00008100120181e+35,13,212947242,325321437,538268679,103249952,131170315,234420267,109697290,194151122,303848412
23,100008,1.00008100120181e+35,14,104529087,132066332,236595419,42749428,72223584,114973012,61779659,59842748,121622407
23,100008,1.00008100120181e+35,15,,,,,,,,,
23,100008,1.00008100120181e+35,16,,,,,,,,,
23,100008,1.00008100120181e+35,17,,,,10026536,15709692,25736228,-10026536,-15709692,-25736228
23,100008,1.00008100120181e+35,18,,,,,,,,,
23,100008,1.00008100120181e+35,19,2729719858,2783267966,5512987824,2090108281,2011967108,4102075389,639611577,771300858,1410912435
23,100008,1.00008100120181e+35,20,12546494,280662012,293208506,9961951,199896644,209858595,2584543,80765368,83349911
23,100008,1.00008100120181e+35,21,2717173364,2502605954,5219779318,2080146330,1812070464,3892216794,637027034,690535490,1327562524
23,100008,1.00008100120181e+35,22,,,3778103416,,,2599114165,,,1178989251
23,100010,1.00010010120191e+35,1,,,,22647992,14619751,37267743,-22647992,-14619751,-37267743
23,100010,1.00010010120191e+35,2,104398953,75695515,180094468,,,,104398953,75695515,180094468
23,100010,1.00010010120191e+35,3,,,,,,,,,
23,100010,1.00010010120191e+35,4,,,,27355589,10584690,37940279,-27355589,-10584690,-37940279
23,100010,1.00010010120191e+35,5,225783159,71886593,297669752,193936380,66996009,260932389,31846779,4890584,36737363
23,100010,1.00010010120191e+35,6,248739282,39849911,288589193,225700322,37623021,263323343,23038960,2226890,25265850
23,100010,1.00010010120191e+35,7,118458270,23331498,141789768,81386551,12432217,93818768,37071719,10899281,47971000
23,100010,1.00010010120191e+35,8,,,,,,,,,
23,100010,1.00010010120191e+35,9,,,,,,,,,
23,100010,1.00010010120191e+35,10,196646075,47527181,244173256,170936786,43657658,214594444,25709289,3869523,29578812
23,100010,1.00010010120191e+35,11,338024800,177361814,515386614,298617739,164606328,463224067,39407061,12755486,52162547
23,100010,1.00010010120191e+35,12,500176858,200721244,700898102,336192279,153037310,489229589,163984579,47683934,211668513
23,100010,1.00010010120191e+35,13,,,,,,,,,
23,100010,1.00010010120191e+35,14,14053163,27447985,41501148,25240031,25868701,51108732,-11186868,1579284,-9607584
23,100010,1.00010010120191e+35,15,,,,,,,,,
23,100010,1.00010010120191e+35,16,,,,1321071,1324542,2645613,-1321071,-1324542,-2645613
23,100010,1.00010010120191e+35,17,,,,75645903,62159631,137805534,-75645903,-62159631,-137805534
23,100010,1.00010010120191e+35,18,,,,,,,,,
